roll, pitch, yaw
-3.921625179679254103e+01,9.638113891102506159e+01,-2.317904453113088437e+01
-3.901948593506143226e+01,9.694162237315359221e+01,-2.352483233537958895e+01
-3.840307400444432773e+01,9.754998526157997674e+01,-2.396746499652100937e+01
-3.752234413351624909e+01,9.829854083827238753e+01,-2.443598053977308027e+01
-3.671142984955754685e+01,9.912737533162847114e+01,-2.497956295615691502e+01
-3.571831928060837669e+01,9.994445575487947053e+01,-2.566594218064606991e+01
-3.412162031040666932e+01,1.007870073645210027e+02,-2.627113079021986053e+01
-3.263985102322519083e+01,1.013760213955892908e+02,-2.674981882630884300e+01
-3.151632819742125591e+01,1.017135550219379070e+02,-2.709215924166871403e+01
-3.072934539675294019e+01,1.018551838829497314e+02,-2.732684924033476648e+01
-3.009949125927956359e+01,1.018097604029877630e+02,-2.749497214446590476e+01
-2.943222169320970139e+01,1.016644712909137240e+02,-2.749140464821389784e+01
-2.872313695037633607e+01,1.014086550946195757e+02,-2.750179963174833730e+01
-2.818167943197245862e+01,1.009622475748083730e+02,-2.756206588722861284e+01
-2.776189679671451671e+01,1.003483939882141129e+02,-2.763287804599073638e+01
-2.746875694435557591e+01,9.966709901674894923e+01,-2.767909410355163047e+01
-2.721984716247612823e+01,9.899441034906551806e+01,-2.779600202008509058e+01
-2.693146270499613948e+01,9.829598863353619720e+01,-2.785462155714510146e+01
-2.662526915063274302e+01,9.759735486833811535e+01,-2.788789570663065831e+01
-2.629732142377676141e+01,9.692556406006343650e+01,-2.783143556004363361e+01
-2.593887525444227293e+01,9.625711178209090235e+01,-2.767475993257623657e+01
-2.549683958444844123e+01,9.562470912827187419e+01,-2.744106141304967750e+01
-2.508336166623916341e+01,9.497609017534664133e+01,-2.720863495126194564e+01
-2.474841991612278491e+01,9.429867376377052324e+01,-2.701697692687025665e+01
-2.448230756647581075e+01,9.359874104800778127e+01,-2.684869518228832419e+01
-2.428512235346874348e+01,9.292430254075048879e+01,-2.669796339184376421e+01
-2.410016884501008150e+01,9.229398832023373700e+01,-2.654358677326274574e+01
-2.385143817239123365e+01,9.167707079448327079e+01,-2.636494928139962468e+01
-2.345683289438608909e+01,9.108022493954771903e+01,-2.614026875309191311e+01
-2.294471453362569591e+01,9.053273683984177467e+01,-2.589086699682031423e+01
-2.252175248941209418e+01,8.991618939807298716e+01,-2.561458786106745578e+01
-2.238888704270194907e+01,8.935305108490379666e+01,-2.547095275807128800e+01
-2.224851691676824572e+01,8.885583303177457992e+01,-2.541577868809769924e+01
-2.191404269606203670e+01,8.836327972347575610e+01,-2.547930440831519405e+01
-2.145696686032162859e+01,8.779261780668083759e+01,-2.558225551244063212e+01
