roll, pitch, yaw
-1.168506284439088176e+02,6.485196504669390549e+01,9.273055957735650168e+01
-1.172170708682810698e+02,6.442361618022111713e+01,9.244588317982147885e+01
-1.175397944772850423e+02,6.398572916474057592e+01,9.215868597742043278e+01
-1.178661782058740215e+02,6.356672032596956257e+01,9.188047187224147194e+01
-1.181898271326127201e+02,6.320709770610887546e+01,9.160481462786339080e+01
-1.184736681239738516e+02,6.288196472225171618e+01,9.144345062833504301e+01
-1.187437732601701867e+02,6.257351106735006852e+01,9.126324159997088259e+01
-1.189967000679587699e+02,6.231937358532492510e+01,9.102289761996676987e+01
-1.192409136264861331e+02,6.208078134856846475e+01,9.077296681791177946e+01
-1.193294990248589755e+02,6.184451534990089527e+01,9.052712690021290598e+01
-1.193179826296383226e+02,6.160524770104092340e+01,9.020444903095595635e+01
-1.192333229566345381e+02,6.137405313823131792e+01,8.986840933660154462e+01
-1.191128430650121004e+02,6.116337417665441478e+01,8.951815687770078966e+01
-1.189537403791877779e+02,6.094427015045577178e+01,8.914129314764969081e+01
-1.188095422691599197e+02,6.068066291766737663e+01,8.875358772432608134e+01
-1.186654162159754975e+02,6.036026462577213891e+01,8.835469507064279071e+01
-1.184857895222636728e+02,6.003707331515488477e+01,8.793676308410665854e+01
-1.182520815521066879e+02,5.977446842095012158e+01,8.751511889466418381e+01
-1.180257043823129237e+02,5.956000034801527221e+01,8.708112686218031229e+01
-1.178418653844929480e+02,5.938790975731483712e+01,8.661148934961177304e+01
-1.177404323866719977e+02,5.918750153836878525e+01,8.613921395606155329e+01
-1.177097802986543087e+02,5.896603466398596538e+01,8.566985573559105660e+01
-1.177705451724469015e+02,5.875535978919789670e+01,8.529766114070602612e+01
-1.176082969645863301e+02,5.866167427559772563e+01,8.496006298511973398e+01
-1.171979130250494876e+02,5.868996110004966482e+01,8.461904778869480026e+01
-1.166138532874460765e+02,5.873540662848364491e+01,8.422598585135767735e+01
-1.160072371782800644e+02,5.873642338441258914e+01,8.376402632972906304e+01
-1.155681653800444337e+02,5.871549301012567668e+01,8.338445044171557186e+01
