Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
16255, -0.8935546875, -0.5262451171875, 0.3990478515625, 74.52392578125, 51.208492279052734, 55.297847747802734, 16.0, 50.0, 3.0 
16271, -0.821044921875, -0.0872802734375, 0.0601806640625, 99.54833221435547, 29.296873092651367, 38.75732421875, 16.0, 50.0, 3.0 
16289, -0.8338623046875, 0.0616455078125, 0.1068115234375, 52.062984466552734, -16.9677734375, -16.41845703125, 16.0, 50.0, 3.0 
16308, -1.1463623046875, 0.2276611328125, 0.3748779296875, 16.845703125, -27.709959030151367, -45.410152435302734, 16.0, 51.0, 5.0 
16325, -1.600341796875, 0.11083984375, 0.3939208984375, 15.502928733825684, -3.417968511581421, -29.724119186401367, 16.0, 51.0, 5.0 
16346, -1.52099609375, -0.2733154296875, 0.2540283203125, 23.498533248901367, 19.4091796875, -6.164550304412842, 16.0, 51.0, 5.0 
16363, -0.7318115234375, -0.4051513671875, 0.0430908203125, 22.094724655151367, 20.568845748901367, -4.94384765625, 16.0, 51.0, 5.0 
16439, -1.0184326171875, 0.294189453125, 0.151611328125, -71.96044921875, -37.90283203125, -28.198240280151367, 19.0, 49.0, 3.0 
16514, -0.943115234375, 0.2445068359375, 0.3145751953125, -21.667478561401367, -34.0576171875, -15.197752952575684, 20.0, 47.0, 4.0 
16534, -0.908447265625, 0.1624755859375, 0.2891845703125, -35.5224609375, -41.259761810302734, -30.395505905151367, 20.0, 47.0, 4.0 
16553, -0.964599609375, 0.10205078125, 0.2518310546875, -44.921871185302734, -45.227046966552734, -32.77587890625, 20.0, 47.0, 4.0 
16562, -0.964599609375, 0.10205078125, 0.2518310546875, -43.884273529052734, -41.381832122802734, -35.400390625, 20.0, 47.0, 4.0 
16584, -0.8929443359375, 0.120849609375, 0.300048828125, -40.588375091552734, -27.404783248901367, -35.400390625, 20.0, 47.0, 4.0 
16598, -0.9500732421875, 0.109130859375, 0.2325439453125, -39.48974609375, -23.010251998901367, -25.085447311401367, 22.0, 47.0, -1.0 
16619, -0.9185791015625, 0.1527099609375, 0.19140625, -46.569820404052734, -21.484373092651367, -14.099120140075684, 22.0, 47.0, -1.0 
16637, -0.88330078125, 0.156982421875, 0.1339111328125, -49.255367279052734, -21.789548873901367, -21.850584030151367, 22.0, 47.0, -1.0 
16655, -0.9188232421875, 0.1217041015625, 0.145751953125, -30.883787155151367, -21.362302780151367, -19.8974609375, 22.0, 47.0, -1.0 
16673, -0.9276123046875, 0.126953125, 0.1900634765625, -21.362302780151367, -24.475095748901367, -18.24951171875, 22.0, 47.0, -1.0 
16691, -0.916015625, 0.162841796875, 0.2530517578125, -21.179197311401367, -26.184080123901367, -19.4091796875, 22.0, 47.0, -1.0 
16713, -0.8955078125, 0.1326904296875, 0.2877197265625, -26.000974655151367, -23.864744186401367, -22.094724655151367, 22.0, 45.0, -3.0 
16731, -0.8499755859375, 0.0943603515625, 0.2674560546875, -30.029294967651367, -22.033689498901367, -23.437498092651367, 22.0, 45.0, -3.0 
16752, -0.8922119140625, 0.1298828125, 0.222412109375, -34.24072265625, -19.83642578125, -28.564451217651367, 22.0, 45.0, -3.0 
16773, -0.90283203125, 0.1275634765625, 0.1602783203125, -35.33935546875, -23.864744186401367, -29.602048873901367, 22.0, 45.0, -3.0 
16790, -0.8983154296875, 0.10986328125, 0.098388671875, -35.09521484375, -26.977537155151367, -30.029294967651367, 22.0, 45.0, -3.0 
16812, -0.882568359375, 0.03662109375, 0.1258544921875, -32.04345703125, -35.400390625, -31.372068405151367, 24.0, 46.0, -9.0 
16826, -0.9053955078125, -0.01904296875, 0.203857421875, -34.5458984375, -36.0107421875, -30.761716842651367, 24.0, 46.0, -9.0 
16839, -0.9222412109375, 0.0029296875, 0.2171630859375, -42.541500091552734, -37.04833984375, -28.564451217651367, 24.0, 46.0, -9.0 
16859, -0.9512939453125, 0.09375, 0.193115234375, -43.395992279052734, -37.2314453125, -25.878904342651367, 24.0, 46.0, -9.0 
16898, -0.9443359375, 0.1976318359375, 0.1640625, -22.644041061401367, -21.362302780151367, -7.263183116912842, 24.0, 44.0, -11.0 
16912, -0.962890625, 0.285400390625, 0.20849609375, -16.845703125, -11.962889671325684, -0.9155272841453552, 24.0, 44.0, -11.0 
16929, -1.051025390625, 0.3406982421875, 0.1929931640625, -21.789548873901367, -2.38037109375, 3.540038824081421, 24.0, 44.0, -11.0 
16949, -1.129150390625, 0.2882080078125, 0.1240234375, -26.550291061401367, 2.3193359375, 5.310058116912842, 24.0, 44.0, -11.0 
16966, -1.193359375, 0.21044921875, 0.140869140625, -33.0810546875, 4.94384765625, 8.36181640625, 24.0, 44.0, -11.0 
16986, -1.20654296875, 0.229248046875, 0.147705078125, -24.475095748901367, 1.220703125, 11.840819358825684, 24.0, 44.0, -11.0 
17001, -1.2672119140625, 0.36474609375, 0.1824951171875, -1.7089842557907104, -2.25830078125, 17.333984375, 22.0, 43.0, -14.0 
17018, -1.3997802734375, 0.4849853515625, 0.3179931640625, 21.423337936401367, -3.173827886581421, 17.9443359375, 22.0, 43.0, -14.0 
17039, -1.4735107421875, 0.3193359375, 0.43994140625, 20.751951217651367, 3.723144292831421, 11.352538108825684, 22.0, 43.0, -14.0 
17055, -1.318359375, -0.0155029296875, 0.310791015625, 9.70458984375, 15.197752952575684, 7.385253429412842, 22.0, 43.0, -14.0 
