Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
25081, -1.0283203125, -0.39794921875, -0.006591796875, 66.650390625, -22.583005905151367, -10.131834983825684, -10.0, 17.0, -29.0 
25255, -0.970703125, 0.0814208984375, -0.18603515625, -44.189449310302734, 92.22411346435547, -32.28759765625, -11.0, 21.0, -26.0 
25271, -0.8497314453125, 0.001708984375, -0.218017578125, -66.650390625, 111.99950408935547, -55.603023529052734, -11.0, 21.0, -26.0 
25275, -0.8497314453125, 0.001708984375, -0.218017578125, -66.650390625, 111.99950408935547, -55.603023529052734, -11.0, 21.0, -26.0 
25284, -0.8497314453125, 0.001708984375, -0.218017578125, -66.650390625, 111.99950408935547, -55.603023529052734, -9.0, 21.0, -18.0 
25301, -0.9224853515625, 0.0296630859375, -0.0550537109375, -68.90869140625, 130.43212890625, -84.53368377685547, -9.0, 21.0, -18.0 
25324, -1.036865234375, -0.023193359375, 0.0927734375, -46.569820404052734, 135.68115234375, -87.09716033935547, -9.0, 21.0, -18.0 
25342, -1.1015625, -0.1202392578125, 0.0260009765625, -4.57763671875, 138.12255859375, -69.03076171875, -9.0, 21.0, -18.0 
25360, -1.0418701171875, -0.172607421875, -0.1505126953125, 17.333984375, 136.3525390625, -49.804683685302734, -9.0, 21.0, -18.0 
25383, -1.02587890625, -0.1204833984375, -0.141357421875, 4.45556640625, 124.02342987060547, -40.588375091552734, -9.0, 21.0, -18.0 
25401, -1.0748291015625, -0.1680908203125, -0.283447265625, -100.52489471435547, 76.0498046875, -42.785640716552734, -5.0, 20.0, -11.0 
25421, -1.1007080078125, -0.1893310546875, -0.0166015625, -207.03123474121094, 80.26123046875, -52.734371185302734, -5.0, 20.0, -11.0 
25436, -1.1519775390625, -0.0482177734375, 0.4732666015625, -187.92723083496094, 104.43114471435547, -48.583980560302734, -5.0, 20.0, -11.0 
25456, -1.14697265625, 0.02392578125, 0.4271240234375, -112.36571502685547, 97.53417205810547, -18.1884765625, -5.0, 20.0, -11.0 
25475, -1.072265625, -0.0933837890625, 0.02294921875, -122.61962127685547, 79.4677734375, 8.056640625, -5.0, 20.0, -11.0 
25493, -0.8828125, -0.0841064453125, -0.00146484375, -150.93994140625, 94.23827362060547, 4.69970703125, 1.0, 19.0, 1.0 
25514, -0.93212890625, 0.0008544921875, 0.0821533203125, -143.73779296875, 88.56200408935547, 1.4038084745407104, 1.0, 19.0, 1.0 
25532, -0.920654296875, 0.0809326171875, 0.05517578125, -145.6298828125, 91.79686737060547, -4.21142578125, 1.0, 19.0, 1.0 
25553, -0.857421875, 0.1707763671875, 0.204345703125, -133.544921875, 104.06493377685547, -20.324705123901367, 1.0, 19.0, 1.0 
25568, -0.8138427734375, 0.2840576171875, 0.342041015625, -103.57665252685547, 89.17235565185547, -20.507810592651367, 1.0, 19.0, 1.0 
25586, -0.7056884765625, 0.208740234375, 0.2667236328125, -86.05956268310547, 61.340328216552734, -10.559081077575684, 8.0, 16.0, 6.0 
25607, -0.6785888671875, 0.0970458984375, 0.1513671875, -95.21483612060547, 46.630855560302734, -4.5166015625, 8.0, 16.0, 6.0 
25625, -0.6490478515625, -0.0494384765625, 0.0809326171875, -116.45507049560547, 15.808104515075684, 9.33837890625, 8.0, 16.0, 6.0 
